('6677f9697acf35542d8eeb54', 'WRO', 'TZL', 100, '2024-06-25', '04:39:00', 'Air France', '9 hours', 352)
('6677f9727acf35542d8eecf5', 'ADU', 'LXR', 100, '2024-06-29', '08:20:00', 'EasyJet', '4 hours', 422)
('6677f9727acf35542d8eecf6', 'ADU', 'LIL', 100, '2024-07-03', '20:26:00', 'EasyJet', '2 hours', 244)
('6677f9727acf35542d8eecf8', 'KTM', 'STI', 100, '2024-06-30', '14:59:00', 'Lufthansa', '7 hours', 167)
('6677f9727acf35542d8eecfd', 'URG', 'HND', 100, '2024-07-03', '13:10:00', 'EasyJet', '6 hours', 408)
('6677f9727acf35542d8eecfe', 'URG', 'KIH', 100, '2024-06-25', '11:58:00', 'Lufthansa', '12 hours', 279)
('6677f9727acf35542d8eecff', 'URG', 'SZZ', 100, '2024-06-28', '20:22:00', 'Ryanair', '14 hours', 72)
('6677f9727acf35542d8eed00', 'URG', 'ACE', 100, '2024-07-02', '07:50:00', 'Air France', '1 hours', 352)
('6677f9727acf35542d8eed02', 'NTY', 'JUJ', 100, '2024-06-26', '21:37:00', 'Ryanair', '1 hours', 350)
('6677f9727acf35542d8eed03', 'NTY', 'SLD', 100, '2024-06-25', '07:11:00', 'Air France', '14 hours', 287)
('6677f9737acf35542d8eed07', 'RAK', 'KYA', 100, '2024-06-24', '08:14:00', 'Lufthansa', '1 hours', 55)
('6677f9737acf35542d8eed08', 'RAK', 'USM', 100, '2024-07-02', '11:09:00', 'Ryanair', '12 hours', 137)
('6677f9737acf35542d8eed09', 'RAK', 'JSI', 100, '2024-06-29', '06:04:00', 'British Airways', '1 hours', 369)
('6677f9737acf35542d8eed0c', 'SZF', 'AXD', 100, '2024-06-26', '23:50:00', 'Lufthansa', '8 hours', 81)
('6677f9737acf35542d8eed0d', 'SZF', 'CZL', 100, '2024-07-03', '01:29:00', 'Air France', '4 hours', 270)
('6677f9737acf35542d8eed11', 'CMN', 'STY', 100, '2024-06-29', '07:15:00', 'EasyJet', '14 hours', 156)
('6677f9737acf35542d8eed12', 'CMN', 'TLV', 100, '2024-06-24', '08:49:00', 'Lufthansa', '14 hours', 475)
('6677f9737acf35542d8eed16', 'UME', 'SWA', 100, '2024-06-27', '17:15:00', 'EasyJet', '3 hours', 496)
('6677f9737acf35542d8eed1b', 'RTM', 'POG', 100, '2024-06-29', '16:54:00', 'EasyJet', '9 hours', 344)
('6677f9737acf35542d8eed1c', 'RTM', 'HBE', 100, '2024-07-02', '13:31:00', 'Lufthansa', '2 hours', 85)
('6677f9737acf35542d8eed20', 'ZAG', 'TLN', 100, '2024-06-29', '22:55:00', 'Ryanair', '12 hours', 217)
('6677f9737acf35542d8eed21', 'ZAG', 'PDG', 100, '2024-06-30', '00:26:00', 'EasyJet', '12 hours', 290)
('6677f9737acf35542d8eed25', 'ADL', 'LBD', 100, '2024-06-24', '15:08:00', 'Air France', '9 hours', 268)
('6677f9737acf35542d8eed26', 'ADL', 'CHQ', 100, '2024-06-26', '18:13:00', 'British Airways', '14 hours', 105)
('6677f9737acf35542d8eed27', 'ADL', 'VLC', 100, '2024-06-24', '19:40:00', 'Lufthansa', '14 hours', 245)
('6677f9737acf35542d8eed28', 'ADL', 'MCO', 100, '2024-06-24', '01:38:00', 'Ryanair', '5 hours', 58)
('6677f9737acf35542d8eed2a', 'MDG', 'MAH', 100, '2024-06-28', '18:05:00', 'British Airways', '1 hours', 43)
('6677f9737acf35542d8eed2b', 'MDG', 'DAC', 100, '2024-07-02', '10:59:00', 'Lufthansa', '12 hours', 381)
('6677f9737acf35542d8eed2c', 'MDG', 'NJF', 100, '2024-06-29', '22:07:00', 'EasyJet', '4 hours', 129)
('6677f9737acf35542d8eed2f', 'RMU', 'JFK', 100, '2024-06-29', '13:50:00', 'British Airways', '6 hours', 178)
('6677f9737acf35542d8eed30', 'RMU', 'INU', 100, '2024-07-03', '14:48:00', 'EasyJet', '7 hours', 45)
('6677f9737acf35542d8eed31', 'RMU', 'SPC', 100, '2024-07-02', '17:25:00', 'Lufthansa', '2 hours', 135)
('6677f9737acf35542d8eed32', 'RMU', 'KIH', 100, '2024-06-28', '00:10:00', 'Lufthansa', '11 hours', 408)
('6677f9737acf35542d8eed34', 'DMK', 'NRN', 100, '2024-06-30', '18:27:00', 'Air France', '5 hours', 216)
('6677f9737acf35542d8eed35', 'DMK', 'ORU', 100, '2024-07-02', '11:18:00', 'Lufthansa', '7 hours', 230)
('6677f9737acf35542d8eed36', 'DMK', 'LBD', 100, '2024-06-30', '14:05:00', 'Ryanair', '11 hours', 428)
('6677f9747acf35542d8eed39', 'MAD', 'RAR', 100, '2024-07-03', '11:38:00', 'British Airways', '8 hours', 446)
('6677f9747acf35542d8eed3e', 'BIO', 'ODS', 100, '2024-07-01', '20:57:00', 'Lufthansa', '2 hours', 471)
('6677f9747acf35542d8eed43', 'ACC', 'KAB', 100, '2024-06-28', '18:53:00', 'British Airways', '12 hours', 445)
('6677f9747acf35542d8eed44', 'ACC', 'HAH', 100, '2024-06-27', '06:04:00', 'British Airways', '3 hours', 263)
('6677f9747acf35542d8eed48', 'RNS', 'RVN', 100, '2024-07-02', '00:40:00', 'British Airways', '4 hours', 286)
('6677f9747acf35542d8eed49', 'RNS', 'SCV', 100, '2024-06-30', '00:33:00', 'Lufthansa', '14 hours', 381)
('6677f9747acf35542d8eed4a', 'RNS', 'LHE', 100, '2024-06-29', '19:47:00', 'Ryanair', '5 hours', 234)
('6677f9747acf35542d8eed4d', 'CMF', 'BGX', 100, '2024-07-03', '06:35:00', 'Lufthansa', '2 hours', 74)
('6677f9747acf35542d8eed4e', 'CMF', 'VIE', 100, '2024-06-26', '06:55:00', 'Ryanair', '5 hours', 216)
('6677f9747acf35542d8eed4f', 'CMF', 'PER', 100, '2024-07-03', '01:14:00', 'Lufthansa', '9 hours', 118)
('6677f9747acf35542d8eed50', 'CMF', 'OSW', 100, '2024-06-30', '09:56:00', 'Ryanair', '13 hours', 418)
('6677f9747acf35542d8eed52', 'RKT', 'PZY', 100, '2024-07-01', '14:02:00', 'Lufthansa', '3 hours', 118)
('6677f9747acf35542d8eed53', 'RKT', 'CIJ', 100, '2024-06-28', '09:12:00', 'British Airways', '6 hours', 135)
('6677f9747acf35542d8eed54', 'RKT', 'BOS', 100, '2024-06-28', '17:57:00', 'British Airways', '2 hours', 245)
('6677f9747acf35542d8eed57', 'CFU', 'IKA', 100, '2024-07-02', '16:14:00', 'Air France', '7 hours', 76)
('6677f9747acf35542d8eed5c', 'SMR', 'UAL', 100, '2024-06-27', '02:13:00', 'Air France', '2 hours', 326)
('6677f9747acf35542d8eed5d', 'SMR', 'BQS', 100, '2024-06-25', '14:22:00', 'Air France', '10 hours', 181)
('6677f9747acf35542d8eed5e', 'SMR', 'MUN', 100, '2024-06-24', '14:35:00', 'British Airways', '10 hours', 76)
('6677f9747acf35542d8eed61', 'IFN', 'PNK', 100, '2024-06-25', '22:48:00', 'Air France', '3 hours', 72)
('6677f9747acf35542d8eed66', 'PAC', 'TPS', 100, '2024-07-02', '10:31:00', 'British Airways', '7 hours', 67)
('6677f9747acf35542d8eed67', 'PAC', 'CLY', 100, '2024-06-29', '20:10:00', 'Ryanair', '3 hours', 238)
('6677f9747acf35542d8eed68', 'PAC', 'IKA', 100, '2024-06-29', '03:17:00', 'Air France', '12 hours', 247)
('6677f9747acf35542d8eed6b', 'TYN', 'URG', 100, '2024-06-25', '12:43:00', 'Air France', '4 hours', 274)
('6677f9747acf35542d8eed6c', 'TYN', 'PPG', 100, '2024-06-25', '01:49:00', 'Air France', '13 hours', 67)
('6677f9747acf35542d8eed6d', 'TYN', 'BCN', 100, '2024-06-26', '07:30:00', 'Ryanair', '1 hours', 405)
('6677f9747acf35542d8eed6e', 'TYN', 'LUZ', 100, '2024-06-27', '18:37:00', 'EasyJet', '14 hours', 205)
('6677f9757acf35542d8eed70', 'KIH', 'PNK', 100, '2024-06-27', '12:01:00', 'British Airways', '9 hours', 211)
('6677f9757acf35542d8eed71', 'KIH', 'LVI', 100, '2024-07-02', '11:18:00', 'Air France', '1 hours', 326)
('6677f9757acf35542d8eed72', 'KIH', 'BTH', 100, '2024-06-28', '16:13:00', 'Air France', '12 hours', 359)
('6677f9757acf35542d8eed75', 'CMB', 'PER', 100, '2024-06-28', '17:28:00', 'Lufthansa', '1 hours', 152)
('6677f9757acf35542d8eed76', 'CMB', 'GZT', 100, '2024-07-01', '16:31:00', 'EasyJet', '14 hours', 243)
('6677f9757acf35542d8eed77', 'CMB', 'LEJ', 100, '2024-07-02', '16:07:00', 'EasyJet', '11 hours', 175)
('6677f9757acf35542d8eed7a', 'MIU', 'MRS', 100, '2024-06-28', '21:46:00', 'EasyJet', '5 hours', 153)
('6677f9757acf35542d8eed7b', 'MIU', 'SAN', 100, '2024-07-02', '00:57:00', 'Ryanair', '9 hours', 217)
('6677f9757acf35542d8eed7f', 'SCO', 'FLN', 100, '2024-06-25', '05:54:00', 'British Airways', '7 hours', 399)
('6677f9757acf35542d8eed84', 'SDF', 'MCI', 100, '2024-06-25', '09:08:00', 'Lufthansa', '9 hours', 194)
('6677f9757acf35542d8eed89', 'KUT', 'RHO', 100, '2024-07-03', '18:10:00', 'Air France', '4 hours', 412)
('6677f9757acf35542d8eed8e', 'TSR', 'VOG', 100, '2024-06-25', '19:44:00', 'Air France', '6 hours', 59)
('6677f9757acf35542d8eed8f', 'TSR', 'LXR', 100, '2024-07-01', '19:09:00', 'EasyJet', '3 hours', 145)
('6677f9757acf35542d8eed90', 'TSR', 'ADU', 100, '2024-06-29', '18:33:00', 'EasyJet', '14 hours', 390)
('6677f9757acf35542d8eed93', 'OZH', 'GSM', 100, '2024-06-26', '04:31:00', 'British Airways', '8 hours', 413)
('6677f9757acf35542d8eed94', 'OZH', 'GZT', 100, '2024-06-27', '23:43:00', 'Ryanair', '11 hours', 377)
('6677f9757acf35542d8eed98', 'IAM', 'VGO', 100, '2024-06-27', '16:52:00', 'Ryanair', '8 hours', 466)
('6677f9757acf35542d8eed99', 'IAM', 'BIO', 100, '2024-07-03', '22:39:00', 'British Airways', '13 hours', 463)
('6677f9757acf35542d8eed9d', 'DZO', 'HFE', 100, '2024-06-25', '05:19:00', 'British Airways', '12 hours', 448)
('6677f9757acf35542d8eed9e', 'DZO', 'CEK', 100, '2024-06-29', '03:41:00', 'Ryanair', '7 hours', 339)
('6677f9757acf35542d8eeda2', 'ODS', 'PMF', 100, '2024-06-25', '10:27:00', 'Ryanair', '10 hours', 349)
('6677f9757acf35542d8eeda7', 'RGN', 'PEE', 100, '2024-07-03', '10:12:00', 'EasyJet', '13 hours', 477)
('6677f9757acf35542d8eeda8', 'RGN', 'SLL', 100, '2024-06-25', '03:34:00', 'EasyJet', '13 hours', 124)
('6677f9757acf35542d8eeda9', 'RGN', 'VLN', 100, '2024-06-29', '15:01:00', 'EasyJet', '10 hours', 202)
('6677f9757acf35542d8eedaa', 'RGN', 'PMV', 100, '2024-07-03', '16:53:00', 'Ryanair', '9 hours', 488)
('6677f9767acf35542d8eedac', 'ATL', 'PMF', 100, '2024-06-27', '00:43:00', 'EasyJet', '13 hours', 291)
('6677f9767acf35542d8eedad', 'ATL', 'CEI', 100, '2024-06-27', '04:58:00', 'EasyJet', '7 hours', 257)
('6677f9767acf35542d8eedae', 'ATL', 'MST', 100, '2024-06-28', '11:24:00', 'Ryanair', '6 hours', 288)
('6677f9767acf35542d8eedaf', 'ATL', 'KOA', 100, '2024-06-26', '17:16:00', 'Lufthansa', '11 hours', 122)
('6677f9767acf35542d8eedb1', 'ABQ', 'ZAD', 100, '2024-07-02', '08:23:00', 'Ryanair', '7 hours', 42)
('6677f9767acf35542d8eedb6', 'STL', 'BCN', 100, '2024-07-01', '07:32:00', 'EasyJet', '14 hours', 93)
('6677f9767acf35542d8eedb7', 'STL', 'KRK', 100, '2024-06-30', '05:24:00', 'EasyJet', '1 hours', 296)
('6677f9767acf35542d8eedbb', 'FLL', 'SPC', 100, '2024-06-27', '11:10:00', 'EasyJet', '10 hours', 439)
('6677f9767acf35542d8eedbc', 'FLL', 'SHA', 100, '2024-06-28', '15:07:00', 'Lufthansa', '2 hours', 248)
('6677f9767acf35542d8eedbd', 'FLL', 'AZS', 100, '2024-06-24', '23:18:00', 'British Airways', '4 hours', 248)
('6677f9767acf35542d8eedbe', 'FLL', 'GGT', 100, '2024-06-25', '09:24:00', 'British Airways', '5 hours', 480)
('6677f9767acf35542d8eedc0', 'SAN', 'MAA', 100, '2024-07-01', '05:05:00', 'Ryanair', '12 hours', 180)
('6677f9767acf35542d8eedc1', 'SAN', 'RVN', 100, '2024-06-30', '04:32:00', 'Ryanair', '1 hours', 336)
('6677f9767acf35542d8eedc2', 'SAN', 'SZZ', 100, '2024-07-02', '13:39:00', 'Lufthansa', '2 hours', 452)
('6677f9767acf35542d8eedc3', 'SAN', 'RJK', 100, '2024-07-02', '22:53:00', 'Ryanair', '7 hours', 241)
('6677f9767acf35542d8eedc5', 'UIO', 'MLZ', 100, '2024-06-24', '23:18:00', 'Air France', '8 hours', 349)
('6677f9767acf35542d8eedc6', 'UIO', 'SOF', 100, '2024-06-24', '02:21:00', 'EasyJet', '10 hours', 368)
('6677f9767acf35542d8eedc7', 'UIO', 'CDG', 100, '2024-06-26', '10:38:00', 'Lufthansa', '12 hours', 103)
('6677f9767acf35542d8eedca', 'HTY', 'BLR', 100, '2024-06-29', '13:25:00', 'British Airways', '7 hours', 321)
('6677f9767acf35542d8eedcb', 'HTY', 'GRZ', 100, '2024-06-24', '02:00:00', 'Air France', '11 hours', 433)
('6677f9767acf35542d8eedcc', 'HTY', 'SOF', 100, '2024-06-25', '15:26:00', 'British Airways', '1 hours', 106)
('6677f9767acf35542d8eedcd', 'HTY', 'HRI', 100, '2024-06-28', '02:38:00', 'Lufthansa', '7 hours', 418)
('6677f9767acf35542d8eedcf', 'DAD', 'TRU', 100, '2024-06-26', '06:05:00', 'Lufthansa', '14 hours', 189)
('6677f9767acf35542d8eedd0', 'DAD', 'MCI', 100, '2024-06-28', '09:02:00', 'Lufthansa', '2 hours', 57)
('6677f9767acf35542d8eedd1', 'DAD', 'SCO', 100, '2024-07-01', '14:50:00', 'Air France', '10 hours', 487)
('6677f9777acf35542d8eedd4', 'LAS', 'PDP', 100, '2024-06-30', '17:00:00', 'Air France', '13 hours', 184)
('6677f9777acf35542d8eedd5', 'LAS', 'DAD', 100, '2024-06-30', '04:00:00', 'Air France', '10 hours', 56)
('6677f9777acf35542d8eedd9', 'HRB', 'CAG', 100, '2024-06-26', '22:44:00', 'Air France', '5 hours', 49)
('6677f9777acf35542d8eedda', 'HRB', 'LPK', 100, '2024-07-01', '16:29:00', 'EasyJet', '5 hours', 397)
('6677f9777acf35542d8eeddb', 'HRB', 'DLA', 100, '2024-06-24', '00:37:00', 'British Airways', '10 hours', 188)
('6677f9777acf35542d8eedde', 'HIK', 'TLN', 100, '2024-06-27', '23:47:00', 'Lufthansa', '7 hours', 84)
('6677f9777acf35542d8eeddf', 'HIK', 'NOU', 100, '2024-07-03', '03:28:00', 'Air France', '11 hours', 109)
('6677f9777acf35542d8eede0', 'HIK', 'NAN', 100, '2024-07-03', '06:47:00', 'EasyJet', '3 hours', 164)
('6677f9777acf35542d8eede3', 'MPL', 'CCS', 100, '2024-06-27', '15:24:00', 'British Airways', '7 hours', 317)
('6677f9777acf35542d8eede4', 'MPL', 'PUF', 100, '2024-06-27', '06:56:00', 'Ryanair', '4 hours', 471)
('6677f9777acf35542d8eede5', 'MPL', 'GVA', 100, '2024-07-01', '23:51:00', 'Ryanair', '11 hours', 91)
('6677f9777acf35542d8eede6', 'MPL', 'MSQ', 100, '2024-06-27', '04:18:00', 'Ryanair', '13 hours', 239)
('6677f9777acf35542d8eede8', 'HRG', 'MQP', 100, '2024-07-03', '06:48:00', 'Lufthansa', '11 hours', 390)
('6677f9777acf35542d8eede9', 'HRG', 'DRS', 100, '2024-07-02', '13:20:00', 'British Airways', '3 hours', 309)
('6677f9777acf35542d8eedea', 'HRG', 'NDJ', 100, '2024-06-28', '06:30:00', 'Air France', '5 hours', 237)
('6677f9777acf35542d8eedeb', 'HRG', 'PSS', 100, '2024-06-24', '23:00:00', 'Ryanair', '6 hours', 130)
('6677f9777acf35542d8eeded', 'TUL', 'ATQ', 100, '2024-06-27', '17:32:00', 'Air France', '11 hours', 183)
('6677f9777acf35542d8eedee', 'TUL', 'SUV', 100, '2024-06-26', '20:45:00', 'Lufthansa', '4 hours', 71)
('6677f9777acf35542d8eedf2', 'LIH', 'YKS', 100, '2024-06-30', '20:23:00', 'Lufthansa', '2 hours', 375)
('6677f9777acf35542d8eedf3', 'LIH', 'NDR', 100, '2024-07-03', '07:52:00', 'EasyJet', '12 hours', 246)
('6677f9777acf35542d8eedf7', 'PHF', 'HBA', 100, '2024-06-26', '08:39:00', 'Air France', '13 hours', 191)
('6677f9777acf35542d8eedf8', 'PHF', 'CZL', 100, '2024-06-25', '09:06:00', 'Lufthansa', '12 hours', 97)
('6677f9787acf35542d8eedfc', 'YXE', 'TFN', 100, '2024-06-30', '13:03:00', 'Ryanair', '8 hours', 329)
('6677f9787acf35542d8eedfd', 'YXE', 'DTB', 100, '2024-06-27', '09:42:00', 'EasyJet', '2 hours', 353)
('6677f9787acf35542d8eedfe', 'YXE', 'BOG', 100, '2024-06-27', '15:25:00', 'Air France', '12 hours', 482)
('6677f9787acf35542d8eee01', 'ACE', 'MCO', 100, '2024-06-29', '07:08:00', 'Lufthansa', '11 hours', 295)
('6677f9787acf35542d8eee02', 'ACE', 'BVA', 100, '2024-07-03', '06:50:00', 'Lufthansa', '9 hours', 356)
('6677f9787acf35542d8eee03', 'ACE', 'ERZ', 100, '2024-06-28', '09:45:00', 'Lufthansa', '13 hours', 271)
('6677f9787acf35542d8eee06', 'BSL;MLH;EAP', 'ERF', 100, '2024-06-28', '01:08:00', 'EasyJet', '14 hours', 376)
('6677f9787acf35542d8eee07', 'BSL;MLH;EAP', 'FAI', 100, '2024-06-27', '23:57:00', 'Lufthansa', '4 hours', 279)
('6677f9787acf35542d8eee0b', 'DLM', 'AAY', 100, '2024-07-03', '09:19:00', 'Air France', '5 hours', 92)
('6677f9787acf35542d8eee0c', 'DLM', 'ZYL', 100, '2024-06-26', '06:56:00', 'Air France', '1 hours', 208)
('6677f9787acf35542d8eee0d', 'DLM', 'MVB', 100, '2024-06-24', '17:40:00', 'British Airways', '13 hours', 344)
('6677f9787acf35542d8eee10', 'GSV', 'OCF', 100, '2024-06-27', '00:16:00', 'Air France', '10 hours', 188)
('6677f9787acf35542d8eee11', 'GSV', 'BTS', 100, '2024-07-03', '11:15:00', 'British Airways', '2 hours', 343)
('6677f9787acf35542d8eee12', 'GSV', 'SZG', 100, '2024-07-01', '03:02:00', 'EasyJet', '4 hours', 122)
('6677f9787acf35542d8eee13', 'GSV', 'GLA', 100, '2024-06-24', '19:22:00', 'Air France', '1 hours', 240)
('6677f9787acf35542d8eee15', 'LLW', 'CFK', 100, '2024-06-25', '01:34:00', 'British Airways', '9 hours', 137)
('6677f9787acf35542d8eee1a', 'YTY', 'MPL', 100, '2024-07-02', '18:15:00', 'EasyJet', '6 hours', 72)
('6677f9787acf35542d8eee1f', 'BWA', 'DYG', 100, '2024-06-24', '12:09:00', 'Air France', '2 hours', 94)
('6677f9787acf35542d8eee24', 'PZY', 'CFU', 100, '2024-06-26', '18:14:00', 'EasyJet', '1 hours', 284)
('6677f9787acf35542d8eee25', 'PZY', 'ZTH', 100, '2024-06-29', '07:59:00', 'Ryanair', '3 hours', 294)
('6677f9787acf35542d8eee26', 'PZY', 'HGH', 100, '2024-07-03', '22:02:00', 'Ryanair', '12 hours', 106)
('6677f9787acf35542d8eee27', 'PZY', 'EAS', 100, '2024-06-28', '23:14:00', 'EasyJet', '11 hours', 276)
('6677f9797acf35542d8eee29', 'STD', 'MAR', 100, '2024-06-24', '10:47:00', 'British Airways', '7 hours', 440)
('6677f9797acf35542d8eee2e', 'CHQ', 'SOC', 100, '2024-06-24', '13:00:00', 'Ryanair', '13 hours', 335)
('6677f9797acf35542d8eee2f', 'CHQ', 'NIM', 100, '2024-06-25', '19:33:00', 'British Airways', '3 hours', 306)
('6677f9797acf35542d8eee30', 'CHQ', 'ADU', 100, '2024-06-29', '13:00:00', 'EasyJet', '6 hours', 179)
('6677f9797acf35542d8eee31', 'CHQ', 'RKT', 100, '2024-06-30', '00:23:00', 'British Airways', '4 hours', 64)
('6677f9797acf35542d8eee33', 'MVD', 'ADA', 100, '2024-06-29', '01:24:00', 'Lufthansa', '12 hours', 85)
('6677f9797acf35542d8eee34', 'MVD', 'UME', 100, '2024-06-27', '19:37:00', 'British Airways', '3 hours', 275)
('6677f9797acf35542d8eee35', 'MVD', 'FAE', 100, '2024-07-03', '05:06:00', 'Ryanair', '13 hours', 401)
('6677f9797acf35542d8eee38', 'KFZ', 'URC', 100, '2024-06-30', '12:14:00', 'Lufthansa', '13 hours', 250)
('6677f9797acf35542d8eee3d', 'HAV', 'ATI', 100, '2024-07-02', '06:24:00', 'EasyJet', '8 hours', 191)
('6677f9797acf35542d8eee42', 'SSH', 'YYT', 100, '2024-07-02', '13:58:00', 'Lufthansa', '6 hours', 136)
('6677f9797acf35542d8eee47', 'GOU', 'NLU', 100, '2024-07-01', '22:53:00', 'EasyJet', '4 hours', 148)
('6677f9797acf35542d8eee48', 'GOU', 'VRN', 100, '2024-06-29', '16:28:00', 'EasyJet', '7 hours', 365)
('6677f9797acf35542d8eee4c', 'PUJ', 'AVV', 100, '2024-06-29', '10:00:00', 'EasyJet', '6 hours', 436)
('6677f9797acf35542d8eee4d', 'PUJ', 'IND', 100, '2024-06-24', '22:00:00', 'Lufthansa', '11 hours', 482)
('6677f9797acf35542d8eee4e', 'PUJ', 'FLN', 100, '2024-07-01', '21:29:00', 'Ryanair', '14 hours', 251)
('6677f9797acf35542d8eee4f', 'PUJ', 'HBA', 100, '2024-06-25', '17:38:00', 'Ryanair', '8 hours', 431)
('6677f9797acf35542d8eee51', 'SKT', 'SYZ', 100, '2024-06-24', '12:40:00', 'British Airways', '10 hours', 373)
('6677f9797acf35542d8eee52', 'SKT', 'DJJ', 100, '2024-07-01', '14:31:00', 'Lufthansa', '4 hours', 436)
('6677f9797acf35542d8eee56', 'ODE', 'PVD', 100, '2024-06-28', '05:21:00', 'Air France', '9 hours', 410)
('6677f9797acf35542d8eee57', 'ODE', 'AOI', 100, '2024-07-02', '19:20:00', 'Ryanair', '2 hours', 440)
('6677f9797acf35542d8eee5b', 'BRX', 'LRH', 100, '2024-06-26', '11:13:00', 'Air France', '12 hours', 153)
('6677f9797acf35542d8eee5c', 'BRX', 'MCZ', 100, '2024-07-02', '23:11:00', 'Lufthansa', '13 hours', 247)
('6677f9797acf35542d8eee5d', 'BRX', 'SVQ', 100, '2024-06-24', '13:03:00', 'EasyJet', '13 hours', 438)
('6677f9797acf35542d8eee60', 'LRM', 'AVV', 100, '2024-07-01', '09:42:00', 'Air France', '13 hours', 378)
('6677f9797acf35542d8eee61', 'LRM', 'CEI', 100, '2024-06-29', '05:13:00', 'EasyJet', '1 hours', 281)
('6677f9797acf35542d8eee62', 'LRM', 'MMK', 100, '2024-06-25', '02:24:00', 'Ryanair', '7 hours', 331)
('6677f97a7acf35542d8eee65', 'HLA', 'ZAG', 100, '2024-06-29', '14:27:00', 'Air France', '5 hours', 210)
('6677f97a7acf35542d8eee66', 'HLA', 'SYD', 100, '2024-07-01', '06:23:00', 'EasyJet', '12 hours', 129)
('6677f97a7acf35542d8eee67', 'HLA', 'BOS', 100, '2024-06-26', '14:08:00', 'Air France', '9 hours', 332)
('6677f97a7acf35542d8eee68', 'HLA', 'KVO', 100, '2024-06-29', '08:43:00', 'Lufthansa', '13 hours', 189)
('6677f97a7acf35542d8eee6a', 'AAY', 'AHO', 100, '2024-06-27', '00:28:00', 'Ryanair', '5 hours', 112)
('6677f97a7acf35542d8eee6b', 'AAY', 'BWE', 100, '2024-07-03', '20:21:00', 'Ryanair', '12 hours', 227)
('6677f97a7acf35542d8eee6c', 'AAY', 'OPO', 100, '2024-06-30', '03:43:00', 'Ryanair', '9 hours', 484)
('6677f97a7acf35542d8eee6d', 'AAY', 'MSP', 100, '2024-07-01', '20:50:00', 'Ryanair', '14 hours', 47)
('6677f97a7acf35542d8eee6f', 'CQD', 'ADU', 100, '2024-07-01', '07:18:00', 'EasyJet', '9 hours', 312)
('6677f97a7acf35542d8eee74', 'MEL', 'JNB', 100, '2024-07-01', '06:47:00', 'Air France', '7 hours', 101)
('6677f97a7acf35542d8eee75', 'MEL', 'MAD', 100, '2024-06-28', '20:30:00', 'Ryanair', '12 hours', 150)
('6677f97a7acf35542d8eee76', 'MEL', 'INC', 100, '2024-07-02', '10:04:00', 'EasyJet', '1 hours', 220)
('6677f97a7acf35542d8eee79', 'BCN', 'TYN', 100, '2024-06-30', '05:55:00', 'EasyJet', '11 hours', 127)
('6677f97a7acf35542d8eee7e', 'CWL', 'AZN', 100, '2024-06-29', '15:26:00', 'Lufthansa', '12 hours', 245)
('6677f97a7acf35542d8eee7f', 'CWL', 'BLR', 100, '2024-07-03', '12:51:00', 'British Airways', '2 hours', 54)
('6677f97a7acf35542d8eee83', 'HND', 'ABD', 100, '2024-06-24', '03:35:00', 'Lufthansa', '1 hours', 138)
('6677f97a7acf35542d8eee88', 'PMC', 'HME', 100, '2024-06-27', '13:00:00', 'EasyJet', '1 hours', 336)
('6677f97a7acf35542d8eee89', 'PMC', 'SYX', 100, '2024-07-02', '02:05:00', 'Lufthansa', '5 hours', 443)
('6677f97a7acf35542d8eee8a', 'PMC', 'DZO', 100, '2024-06-26', '17:14:00', 'British Airways', '10 hours', 302)
('6677f97a7acf35542d8eee8d', 'BOD', 'DBV', 100, '2024-06-26', '15:30:00', 'British Airways', '7 hours', 442)
('6677f97a7acf35542d8eee8e', 'BOD', 'INV', 100, '2024-07-02', '19:31:00', 'Air France', '12 hours', 317)
('6677f97a7acf35542d8eee8f', 'BOD', 'VDE', 100, '2024-06-27', '21:59:00', 'Lufthansa', '5 hours', 398)
('6677f97b7acf35542d8eee92', 'POZ', 'UTH', 100, '2024-07-03', '22:14:00', 'British Airways', '12 hours', 248)
('6677f97b7acf35542d8eee93', 'POZ', 'IAS', 100, '2024-07-01', '03:55:00', 'British Airways', '6 hours', 113)
('6677f97b7acf35542d8eee97', 'SNN', 'TIA', 100, '2024-06-25', '22:59:00', 'British Airways', '13 hours', 322)
('6677f97b7acf35542d8eee98', 'SNN', 'MQP', 100, '2024-06-28', '18:03:00', 'British Airways', '14 hours', 451)
('6677f97b7acf35542d8eee9c', 'BON', 'ACC', 100, '2024-06-24', '00:11:00', 'Ryanair', '7 hours', 396)
('6677f97b7acf35542d8eee9d', 'BON', 'ABQ', 100, '2024-06-25', '09:09:00', 'EasyJet', '13 hours', 359)
('6677f97b7acf35542d8eeea1', 'OST', 'NAG', 100, '2024-06-29', '00:37:00', 'Ryanair', '6 hours', 52)
('6677f97b7acf35542d8eeea2', 'OST', 'LRM', 100, '2024-06-30', '03:21:00', 'EasyJet', '13 hours', 312)
('6677f97b7acf35542d8eeea3', 'OST', 'BGI', 100, '2024-06-24', '02:59:00', 'Lufthansa', '7 hours', 349)
('6677f97b7acf35542d8eeea6', 'LGG', 'TIA', 100, '2024-06-28', '05:17:00', 'Ryanair', '4 hours', 148)
('6677f97b7acf35542d8eeea7', 'LGG', 'HDY', 100, '2024-06-28', '01:55:00', 'British Airways', '5 hours', 431)
('6677f97b7acf35542d8eeea8', 'LGG', 'SVX', 100, '2024-07-01', '15:34:00', 'EasyJet', '14 hours', 495)
